# SensorTrust v0.1 scenario dataset
# scenario: drift
# expected: DRIFT
# channel: temperature_C
# sample_interval_ms: 1000
#config: min_value=-40.0 max_value=85.0 stuck_epsilon=0.01 stuck_window=20 spike_threshold=3.0 drift_window=24 drift_threshold=0.01 missing_limit=3
timestamp_ms,value,valid
1000,25.0186,1
2000,25.0005,1
3000,25.0494,1
4000,25.0463,1
5000,25.0995,1
6000,25.0807,1
7000,25.1352,1
8000,25.1473,1
9000,25.1743,1
10000,25.2000,1
11000,25.1896,1
12000,25.2135,1
13000,25.2483,1
14000,25.2512,1
15000,25.2705,1
16000,25.2891,1
17000,25.3343,1
18000,25.3550,1
19000,25.3719,1
20000,25.3689,1
21000,25.4170,1
22000,25.4205,1
23000,25.4293,1
24000,25.4582,1
25000,25.4768,1
26000,25.4832,1
27000,25.5226,1
28000,25.5344,1
29000,25.5628,1
30000,25.5972,1
31000,25.6058,1
32000,25.6162,1
33000,25.6545,1
34000,25.6798,1
35000,25.6796,1
36000,25.7178,1
37000,25.7008,1
38000,25.7256,1
39000,25.7469,1
40000,25.7975,1
41000,25.8076,1
42000,25.8288,1
43000,25.8315,1
44000,25.8598,1
45000,25.8955,1
46000,25.8840,1
47000,25.9046,1
48000,25.9219,1
49000,25.9587,1
50000,25.9936,1
51000,26.0022,1
52000,26.0161,1
53000,26.0401,1
54000,26.0472,1
55000,26.0979,1
56000,26.0942,1
57000,26.1094,1
58000,26.1324,1
59000,26.1730,1
60000,26.1727,1
61000,26.2162,1
62000,26.2134,1
63000,26.2377,1
64000,26.2430,1
65000,26.2963,1
66000,26.3118,1
67000,26.3190,1
68000,26.3246,1
69000,26.3597,1
70000,26.3750,1
71000,26.4136,1
72000,26.4371,1
73000,26.4496,1
74000,26.4515,1
75000,26.4617,1
76000,26.5158,1
77000,26.5378,1
78000,26.5263,1
79000,26.5600,1
80000,26.5792,1
81000,26.6191,1
82000,26.6017,1
83000,26.6225,1
84000,26.6737,1
85000,26.6828,1
86000,26.6985,1
87000,26.7311,1
88000,26.7437,1
89000,26.7677,1
90000,26.7702,1
91000,26.7834,1
92000,26.8004,1
93000,26.8333,1
94000,26.8659,1
95000,26.8752,1
96000,26.8939,1
97000,26.9247,1
98000,26.9482,1
99000,26.9638,1
100000,26.9725,1
101000,27.0129,1
102000,27.0320,1
103000,27.0557,1
104000,27.0757,1
105000,27.0606,1
106000,27.1068,1
107000,27.1139,1
108000,27.1355,1
109000,27.1607,1
110000,27.1658,1
111000,27.1900,1
112000,27.2395,1
113000,27.2332,1
114000,27.2765,1
115000,27.2874,1
116000,27.2926,1
117000,27.3127,1
118000,27.3442,1
119000,27.3681,1
120000,27.3736,1
121000,27.3824,1
122000,27.4069,1
123000,27.4544,1
124000,27.4692,1
125000,27.4643,1
126000,27.5134,1
127000,27.5230,1
128000,27.5334,1
129000,27.5758,1
130000,27.5652,1
131000,27.5839,1
132000,27.6137,1
133000,27.6495,1
134000,27.6619,1
135000,27.6794,1
136000,27.7163,1
137000,27.7158,1
138000,27.7515,1
139000,27.7402,1
140000,27.7913,1
141000,27.7862,1
142000,27.8262,1
143000,27.8535,1
144000,27.8662,1
145000,27.8832,1
146000,27.9020,1
147000,27.9301,1
148000,27.9348,1
149000,27.9493,1
150000,27.9823,1
151000,28.0008,1
152000,28.0046,1
153000,28.0412,1
154000,28.0587,1
155000,28.0663,1
156000,28.1083,1
157000,28.1311,1
158000,28.1336,1
159000,28.1746,1
160000,28.1995,1
161000,28.2065,1
162000,28.2163,1
163000,28.2309,1
164000,28.2452,1
165000,28.2709,1
166000,28.3200,1
167000,28.3024,1
168000,28.3566,1
169000,28.3679,1
170000,28.3914,1
171000,28.3840,1
172000,28.4258,1
173000,28.4282,1
174000,28.4671,1
175000,28.4918,1
176000,28.5089,1
177000,28.5214,1
178000,28.5554,1
179000,28.5492,1
180000,28.5663,1
181000,28.6146,1
182000,28.6022,1
183000,28.6367,1
184000,28.6568,1
185000,28.6951,1
186000,28.6949,1
187000,28.7228,1
188000,28.7401,1
189000,28.7592,1
190000,28.7789,1
191000,28.7987,1
192000,28.8239,1
193000,28.8373,1
194000,28.8569,1
195000,28.8970,1
196000,28.9191,1
197000,28.9099,1
198000,28.9579,1
199000,28.9410,1
200000,28.9733,1
