# SensorTrust v0.1 scenario dataset
# scenario: healthy
# expected: NONE
# channel: temperature_C
# sample_interval_ms: 1000
#config: min_value=-40.0 max_value=85.0 stuck_epsilon=0.01 stuck_window=20 spike_threshold=3.0 drift_window=24 drift_threshold=0.01 missing_limit=3
timestamp_ms,value,valid
1000,24.9905,1
2000,25.0120,1
3000,25.0848,1
4000,24.9931,1
5000,25.0016,1
6000,25.0175,1
7000,24.9369,1
8000,25.0024,1
9000,25.0260,1
10000,25.0586,1
11000,24.9188,1
12000,24.9607,1
13000,24.9181,1
14000,25.0619,1
15000,25.0387,1
16000,24.9084,1
17000,25.0964,1
18000,25.0930,1
19000,25.0308,1
20000,25.0231,1
21000,24.9315,1
22000,24.9030,1
23000,25.0057,1
24000,24.9119,1
25000,24.9380,1
26000,24.9484,1
27000,24.9060,1
28000,24.9928,1
29000,24.9881,1
30000,25.0685,1
31000,25.0038,1
32000,25.0281,1
33000,25.0000,1
34000,25.0325,1
35000,24.9915,1
36000,24.9556,1
37000,25.0995,1
38000,25.0991,1
39000,25.0680,1
40000,25.0416,1
41000,24.9631,1
42000,24.9459,1
43000,24.9578,1
44000,24.9140,1
45000,25.0533,1
46000,24.9801,1
47000,25.0693,1
48000,24.9773,1
49000,25.0916,1
50000,25.0695,1
51000,24.9001,1
52000,24.9419,1
53000,25.0821,1
54000,24.9940,1
55000,25.0961,1
56000,24.9795,1
57000,24.9146,1
58000,25.0259,1
59000,25.0557,1
60000,24.9540,1
61000,24.9174,1
62000,24.9665,1
63000,25.0928,1
64000,25.0516,1
65000,24.9236,1
66000,24.9493,1
67000,24.9202,1
68000,24.9120,1
69000,25.0594,1
70000,24.9355,1
71000,25.0119,1
72000,24.9895,1
73000,24.9381,1
74000,25.0464,1
75000,24.9262,1
76000,25.0287,1
77000,24.9233,1
78000,24.9842,1
79000,24.9426,1
80000,24.9540,1
81000,25.0942,1
82000,25.0607,1
83000,24.9608,1
84000,25.0770,1
85000,24.9421,1
86000,24.9789,1
87000,25.0709,1
88000,25.0284,1
89000,24.9201,1
90000,25.0979,1
91000,24.9426,1
92000,24.9517,1
93000,25.0545,1
94000,24.9658,1
95000,24.9593,1
96000,24.9147,1
97000,24.9180,1
98000,25.0165,1
99000,24.9486,1
100000,25.0203,1
101000,24.9743,1
102000,24.9906,1
103000,25.0918,1
104000,24.9967,1
105000,25.0149,1
106000,25.0733,1
107000,24.9366,1
108000,24.9308,1
109000,25.0817,1
110000,25.0636,1
111000,24.9499,1
112000,24.9380,1
113000,25.0479,1
114000,25.0881,1
115000,24.9393,1
116000,25.0900,1
117000,25.0764,1
118000,25.0207,1
119000,24.9843,1
120000,24.9208,1
121000,24.9077,1
122000,25.0925,1
123000,24.9477,1
124000,25.0409,1
125000,24.9514,1
126000,25.0647,1
127000,25.0193,1
128000,24.9587,1
129000,24.9351,1
130000,25.0441,1
131000,24.9138,1
132000,24.9457,1
133000,25.0119,1
134000,25.0705,1
135000,25.0229,1
136000,24.9560,1
137000,25.0835,1
138000,24.9408,1
139000,24.9033,1
140000,24.9538,1
141000,24.9891,1
142000,24.9121,1
143000,24.9353,1
144000,24.9738,1
145000,25.0144,1
146000,24.9263,1
147000,24.9724,1
148000,25.0782,1
149000,25.0961,1
150000,25.0314,1
151000,25.0382,1
152000,25.0169,1
153000,24.9281,1
154000,24.9070,1
155000,24.9036,1
156000,25.0820,1
157000,25.0402,1
158000,25.0926,1
159000,24.9043,1
160000,25.0272,1
161000,24.9964,1
162000,25.0461,1
163000,24.9638,1
164000,25.0999,1
165000,24.9151,1
166000,25.0092,1
167000,25.0474,1
168000,25.0800,1
169000,25.0474,1
170000,25.0407,1
171000,25.0587,1
172000,25.0830,1
173000,24.9704,1
174000,25.0370,1
175000,25.0802,1
176000,25.0742,1
177000,24.9834,1
178000,25.0581,1
179000,25.0727,1
180000,25.0146,1
181000,25.0250,1
182000,24.9765,1
183000,25.0165,1
184000,25.0218,1
185000,24.9160,1
186000,25.0279,1
187000,25.0987,1
188000,25.0760,1
189000,25.0456,1
190000,24.9777,1
191000,25.0470,1
192000,25.0162,1
193000,24.9881,1
194000,25.0677,1
195000,24.9168,1
196000,25.0500,1
197000,24.9060,1
198000,25.0203,1
199000,24.9962,1
200000,24.9460,1
