# SensorTrust v0.1 scenario dataset
# scenario: out_of_range
# expected: RANGE
# channel: humidity_percent
# sample_interval_ms: 1000
#config: min_value=0.0 max_value=100.0 stuck_epsilon=0.05 stuck_window=20 spike_threshold=20.0 drift_window=24 drift_threshold=0.05 missing_limit=3
timestamp_ms,value,valid
1000,44.7230,1
2000,44.9610,1
3000,44.8339,1
4000,44.8935,1
5000,44.8190,1
6000,45.3154,1
7000,44.5177,1
8000,45.2700,1
9000,44.0203,1
10000,44.6041,1
11000,44.6701,1
12000,44.2839,1
13000,45.4868,1
14000,44.6202,1
15000,45.5785,1
16000,45.9124,1
17000,44.5070,1
18000,45.7871,1
19000,45.6153,1
20000,45.3348,1
21000,44.0547,1
22000,44.9136,1
23000,45.2535,1
24000,44.5925,1
25000,44.4487,1
26000,44.6196,1
27000,44.5165,1
28000,45.5757,1
29000,44.6956,1
30000,44.8462,1
31000,45.2860,1
32000,45.8968,1
33000,44.5860,1
34000,44.0880,1
35000,45.9478,1
36000,45.6651,1
37000,45.5807,1
38000,45.0467,1
39000,44.4696,1
40000,44.3090,1
41000,44.6085,1
42000,44.9218,1
43000,44.1315,1
44000,45.3986,1
45000,45.4558,1
46000,44.0261,1
47000,45.6849,1
48000,44.9831,1
49000,45.8375,1
50000,44.9502,1
51000,45.5915,1
52000,44.9085,1
53000,45.2261,1
54000,44.9985,1
55000,44.0455,1
56000,44.2879,1
57000,44.4645,1
58000,44.8124,1
59000,44.7385,1
60000,45.0784,1
61000,135.0000,1
62000,135.0000,1
63000,135.0000,1
64000,135.0000,1
65000,135.0000,1
66000,135.0000,1
67000,135.0000,1
68000,135.0000,1
69000,135.0000,1
70000,135.0000,1
71000,135.0000,1
72000,135.0000,1
73000,135.0000,1
74000,135.0000,1
75000,135.0000,1
76000,135.0000,1
77000,135.0000,1
78000,135.0000,1
79000,135.0000,1
80000,135.0000,1
81000,135.0000,1
82000,135.0000,1
83000,135.0000,1
84000,135.0000,1
85000,135.0000,1
86000,135.0000,1
87000,135.0000,1
88000,135.0000,1
89000,135.0000,1
90000,135.0000,1
