injection_mode,phase,detected_fault,expected_observable_samples,detected_samples,true_positive_samples,false_positive_samples,false_negative_samples,previous_SPIKE_FP_samples
DRIFT,INJECTION,DRIFT,450,302,302,0,148,0
DRIFT,RECOVERY,SPIKE,5,5,5,0,0,5
DROP,INJECTION,MISSING,30,20,20,0,10,0
FREEZE,INJECTION,STUCK,200,113,113,0,87,0
OFFSET,INJECTION,SPIKE,5,5,5,0,0,5
OFFSET,RECOVERY,SPIKE,5,5,5,0,0,5
OUT_OF_RANGE,INJECTION,RANGE,25,25,25,0,0,0
OUT_OF_RANGE,INJECTION,SPIKE,5,5,5,0,0,0
OUT_OF_RANGE,RECOVERY,SPIKE,5,5,5,0,0,5
SPIKE,INJECTION,SPIKE,5,5,5,0,0,0
SPIKE,RECOVERY,SPIKE,5,5,5,0,0,5
