experiment_id,sensor,channel,fault,run,fault_start_ms,fault_end_ms,detected,first_detection_ms,detection_latency_ms,detection_latency_samples,cleared,first_clear_ms,recovery_latency_ms,recovery_latency_samples,observable_fault_present,detector_flag_seen
sht30_temperature_v02,SHT30,temperature_C,STUCK,1,1811137,1851137,True,1827137,16000,16,True,1851137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,STUCK,2,1906137,1946137,True,1924137,18000,18,True,1946137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,STUCK,3,2001137,2041137,True,2019137,18000,18,True,2041137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,STUCK,4,2096137,2136137,True,2113137,17000,17,True,2136137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,STUCK,5,2191137,2231137,True,2209137,18000,18,True,2231137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,SPIKE,1,2286137,2287137,True,2286137,0,0,True,2288137,1000,1,True,True
sht30_temperature_v02,SHT30,temperature_C,SPIKE,2,2342137,2343137,True,2342137,0,0,True,2344137,1000,1,True,True
sht30_temperature_v02,SHT30,temperature_C,SPIKE,3,2398137,2399137,True,2398137,0,0,True,2400137,1000,1,True,True
sht30_temperature_v02,SHT30,temperature_C,SPIKE,4,2454137,2455137,True,2454137,0,0,True,2456137,1000,1,True,True
sht30_temperature_v02,SHT30,temperature_C,SPIKE,5,2510137,2511137,True,2510137,0,0,True,2512137,1000,1,True,True
sht30_temperature_v02,SHT30,temperature_C,DRIFT,1,2566137,2656137,True,2596137,30000,30,True,2656137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,DRIFT,2,2711137,2801137,True,2741137,30000,30,True,2801137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,DRIFT,3,2856137,2946137,True,2886137,30000,30,True,2946137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,DRIFT,4,3001137,3091137,True,3030137,29000,29,True,3091137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,DRIFT,5,3146137,3236137,True,3175137,29000,29,True,3236137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,MISSING,1,3291137,3297137,True,3293137,2000,2,True,3297137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,MISSING,2,3352137,3358137,True,3354137,2000,2,True,3358137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,MISSING,3,3413137,3419137,True,3415137,2000,2,True,3419137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,MISSING,4,3474137,3480137,True,3476137,2000,2,True,3480137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,MISSING,5,3535137,3541137,True,3537137,2000,2,True,3541137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,RANGE,1,3596137,3601137,True,3596137,0,0,True,3601137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,RANGE,2,3656137,3661137,True,3656137,0,0,True,3661137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,RANGE,3,3716137,3721137,True,3716137,0,0,True,3721137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,RANGE,4,3776137,3781137,True,3776137,0,0,True,3781137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,RANGE,5,3836137,3841137,True,3836137,0,0,True,3841137,0,0,True,True
sht30_temperature_v02,SHT30,temperature_C,OFFSET,1,3896137,3916137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True,True
sht30_temperature_v02,SHT30,temperature_C,OFFSET,2,3971137,3991137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True,True
sht30_temperature_v02,SHT30,temperature_C,OFFSET,3,4046137,4066137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True,True
sht30_temperature_v02,SHT30,temperature_C,OFFSET,4,4121137,4141137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True,True
sht30_temperature_v02,SHT30,temperature_C,OFFSET,5,4196137,4216137,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,True,True
